user_id,daily_travel_km,electricity_usage_kwh,diet_type,shopping_score,carbon_footprint,electricity_mobile_kwh,electricity_laptop_kwh,electricity_desktop_kwh,electricity_tv_kwh,electricity_tablet_kwh,travel_aboveground_rail_km,travel_underground_rail_km,travel_bus_km,travel_auto_motorcycle_km
1,28,192,Vegan,3,1.7661978207330615,9.6,38.4,48,67.2,28.8,4.2,5.6,8.4,9.8
4,84,831,Vegan,5,4.27103774913828,41.55,166.2,207.75,290.85,124.65,12.6,16.8,25.2,29.4
7,94,579,Vegan,9,1.1575772014988968,28.95,115.8,144.75,202.65,86.85,14.1,18.8,28.2,32.9
10,81,153,Vegan,4,2.6252609326467664,7.65,30.6,38.25,53.55,22.95,12.15,16.2,24.3,28.35
13,84,685,Vegan,7,3.52419520855999,34.25,137,171.25,239.75,102.75,12.6,16.8,25.2,29.4
16,41,855,Vegan,4,3.890929158913354,42.75,171,213.75,299.25,128.25,6.15,8.2,12.3,14.35
19,97,825,Vegan,8,3.1410904868591443,41.25,165,206.25,288.75,123.75,14.55,19.4,29.1,33.95
22,22,424,Vegan,6,5.4666232982007745,21.2,84.8,106,148.4,63.6,3.3,4.4,6.6,7.7
25,38,561,Vegan,8,5.316141569770222,28.05,112.2,140.25,196.35,84.15,5.7,7.6,11.4,13.3
28,75,273,Vegan,1,4.130369033301012,13.65,54.6,68.25,95.55,40.95,11.25,15,22.5,26.25
31,37,174,Vegan,1,4.838781093485794,8.7,34.8,43.5,60.9,26.1,5.55,7.4,11.1,12.95
34,48,290,Vegan,9,3.165215399338965,14.5,58,72.5,101.5,43.5,7.2,9.6,14.4,16.8
37,85,986,Vegan,3,0.6819751828884236,49.3,197.2,246.5,345.1,147.9,12.75,17,25.5,29.75
40,26,719,Vegan,10,3.019149057209607,35.95,143.8,179.75,251.65,107.85,3.9,5.2,7.8,9.1
43,28,742,Vegan,5,2.8255227334016038,37.1,148.4,185.5,259.7,111.3,4.2,5.6,8.4,9.8
46,12,963,Vegan,1,3.7673367069966384,48.15,192.6,240.75,337.05,144.45,1.8,2.4,3.6,4.2
49,38,643,Vegan,8,1.9783492289705669,32.15,128.6,160.75,225.05,96.45,5.7,7.6,11.4,13.3
52,100,664,Vegan,7,4.603270089401519,33.2,132.8,166,232.4,99.6,15,20,30,35
55,10,125,Vegan,1,4.411377110753049,6.25,25,31.25,43.75,18.75,1.5,2,3,3.5
58,59,714,Vegan,2,1.2843945369755256,35.7,142.8,178.5,249.9,107.1,8.85,11.8,17.7,20.65
61,67,358,Vegan,4,1.5457415280946196,17.9,71.6,89.5,125.3,53.7,10.05,13.4,20.1,23.45
64,85,277,Vegan,2,4.124154668356748,13.85,55.4,69.25,96.95,41.55,12.75,17,25.5,29.75
67,33,310,Vegan,4,2.143054625381091,15.5,62,77.5,108.5,46.5,4.95,6.6,9.9,11.55
70,6,860,Vegan,3,4.6892881555468335,43,172,215,301,129,0.9,1.2,1.8,2.1
73,51,886,Vegan,6,4.282357906495193,44.3,177.2,221.5,310.1,132.9,7.65,10.2,15.3,17.85
76,84,608,Vegan,7,4.7344289896898255,30.4,121.6,152,212.8,91.2,12.6,16.8,25.2,29.4
79,100,676,Vegan,1,3.3654308237144095,33.8,135.2,169,236.6,101.4,15,20,30,35
82,19,520,Vegan,8,2.946930294241785,26,104,130,182,78,2.85,3.8,5.7,6.65
85,20,692,Vegan,2,5.044316743200717,34.6,138.4,173,242.2,103.8,3,4,6,7
88,2,781,Vegan,1,1.0796264360067227,39.05,156.2,195.25,273.35,117.15,0.3,0.4,0.6,0.7
91,11,168,Vegan,6,1.8351582095635228,8.4,33.6,42,58.8,25.2,1.65,2.2,3.3,3.85
94,37,321,Vegan,8,2.480364659981034,16.05,64.2,80.25,112.35,48.15,5.55,7.4,11.1,12.95
97,30,785,Vegan,9,1.0094290119091176,39.25,157,196.25,274.75,117.75,4.5,6,9,10.5
100,91,937,Vegan,6,1.0150398381400867,46.85,187.4,234.25,327.95,140.55,13.65,18.2,27.3,31.85
103,85,704,Vegan,3,3.797948413835406,35.2,140.8,176,246.4,105.6,12.75,17,25.5,29.75
106,22,125,Vegan,4,4.613461192678316,6.25,25,31.25,43.75,18.75,3.3,4.4,6.6,7.7
109,47,410,Vegan,8,3.926391663628059,20.5,82,102.5,143.5,61.5,7.05,9.4,14.1,16.45
112,42,948,Vegan,7,1.3472808988607816,47.4,189.6,237,331.8,142.2,6.3,8.4,12.6,14.7
115,91,666,Vegan,10,2.7067917679290563,33.3,133.2,166.5,233.1,99.9,13.65,18.2,27.3,31.85
118,65,371,Vegan,3,4.569839507874418,18.55,74.2,92.75,129.85,55.65,9.75,13,19.5,22.75
121,81,208,Vegan,4,1.4071024748239416,10.4,41.6,52,72.8,31.2,12.15,16.2,24.3,28.35
124,52,954,Vegan,7,0.6066436475249416,47.7,190.8,238.5,333.9,143.1,7.8,10.4,15.6,18.2
127,95,681,Vegan,1,2.9500732124306412,34.05,136.2,170.25,238.35,102.15,14.25,19,28.5,33.25
130,91,837,Vegan,1,2.0013072488820707,41.85,167.4,209.25,292.95,125.55,13.65,18.2,27.3,31.85
133,88,376,Vegan,7,5.4035752436836315,18.8,75.2,94,131.6,56.4,13.2,17.6,26.4,30.8
136,9,211,Vegan,2,4.058144987276235,10.55,42.2,52.75,73.85,31.65,1.35,1.8,2.7,3.15
139,6,892,Vegan,2,4.753078783414407,44.6,178.4,223,312.2,133.8,0.9,1.2,1.8,2.1
142,61,817,Vegan,2,0.9362605616955684,40.85,163.4,204.25,285.95,122.55,9.15,12.2,18.3,21.35
145,40,612,Vegan,1,1.9108847091833883,30.6,122.4,153,214.2,91.8,6,8,12,14
148,70,253,Vegan,3,5.117871623545872,12.65,50.6,63.25,88.55,37.95,10.5,14,21,24.5
151,70,850,Vegan,2,1.2256542187885529,42.5,170,212.5,297.5,127.5,10.5,14,21,24.5
154,87,928,Vegan,5,3.103008153914676,46.4,185.6,232,324.8,139.2,13.05,17.4,26.1,30.45
157,97,391,Vegan,4,0.6277065290935503,19.55,78.2,97.75,136.85,58.65,14.55,19.4,29.1,33.95
160,37,920,Vegan,6,2.997477532879307,46,184,230,322,138,5.55,7.4,11.1,12.95
163,52,152,Vegan,5,4.173081279911315,7.6,30.4,38,53.2,22.8,7.8,10.4,15.6,18.2
166,41,900,Vegan,1,1.0707645121432492,45,180,225,315,135,6.15,8.2,12.3,14.35
169,4,601,Vegan,10,3.1206529083165937,30.05,120.2,150.25,210.35,90.15,0.6,0.8,1.2,1.4
172,7,229,Vegan,4,3.6354229868948864,11.45,45.8,57.25,80.15,34.35,1.05,1.4,2.1,2.45
175,75,151,Vegan,6,4.93336157459216,7.55,30.2,37.75,52.85,22.65,11.25,15,22.5,26.25
178,46,573,Vegan,4,1.9988771812694672,28.65,114.6,143.25,200.55,85.95,6.9,9.2,13.8,16.1
181,69,965,Vegan,1,1.804782477936599,48.25,193,241.25,337.75,144.75,10.35,13.8,20.7,24.15
184,78,642,Vegan,5,1.2679699428771447,32.1,128.4,160.5,224.7,96.3,11.7,15.6,23.4,27.3
187,82,227,Vegan,10,2.280094247172919,11.35,45.4,56.75,79.45,34.05,12.3,16.4,24.6,28.7
190,37,980,Vegan,8,4.56725699486256,49,196,245,343,147,5.55,7.4,11.1,12.95
193,50,754,Vegan,7,0.6637936067368029,37.7,150.8,188.5,263.9,113.1,7.5,10,15,17.5
196,36,587,Vegan,4,3.375499307440097,29.35,117.4,146.75,205.45,88.05,5.4,7.2,10.8,12.6
199,92,205,Vegan,10,2.9041298699418108,10.25,41,51.25,71.75,30.75,13.8,18.4,27.6,32.2
202,90,704,Vegan,4,0.621278052808681,35.2,140.8,176,246.4,105.6,13.5,18,27,31.5
205,99,526,Vegan,8,3.188030773348025,26.3,105.2,131.5,184.1,78.9,14.85,19.8,29.7,34.65
208,49,187,Vegan,3,1.6897137152501214,9.35,37.4,46.75,65.45,28.05,7.35,9.8,14.7,17.15
211,88,826,Vegan,10,3.9345552899270393,41.3,165.2,206.5,289.1,123.9,13.2,17.6,26.4,30.8
214,60,623,Vegan,2,5.258062536094036,31.15,124.6,155.75,218.05,93.45,9,12,18,21
217,63,490,Vegan,3,5.464422991034522,24.5,98,122.5,171.5,73.5,9.45,12.6,18.9,22.05
220,83,683,Vegan,5,5.081117146697397,34.15,136.6,170.75,239.05,102.45,12.45,16.6,24.9,29.05
223,91,566,Vegan,5,4.003408584408784,28.3,113.2,141.5,198.1,84.9,13.65,18.2,27.3,31.85
226,62,951,Vegan,7,1.785429098967883,47.55,190.2,237.75,332.85,142.65,9.3,12.4,18.6,21.7
229,70,305,Vegan,5,1.4723654026135726,15.25,61,76.25,106.75,45.75,10.5,14,21,24.5
232,88,333,Vegan,6,2.785123842229131,16.65,66.6,83.25,116.55,49.95,13.2,17.6,26.4,30.8
235,99,167,Vegan,3,4.455262857490835,8.35,33.4,41.75,58.45,25.05,14.85,19.8,29.7,34.65
238,17,476,Vegan,2,2.957723054085976,23.8,95.2,119,166.6,71.4,2.55,3.4,5.1,5.95
241,27,342,Vegan,5,2.5240630463829454,17.1,68.4,85.5,119.7,51.3,4.05,5.4,8.1,9.45
244,37,455,Vegan,7,2.663157205292274,22.75,91,113.75,159.25,68.25,5.55,7.4,11.1,12.95
247,23,476,Vegan,9,5.306596814400718,23.8,95.2,119,166.6,71.4,3.45,4.6,6.9,8.05
250,75,926,Vegan,6,3.629214568095927,46.3,185.2,231.5,324.1,138.9,11.25,15,22.5,26.25
253,50,483,Vegan,4,4.507722695661052,24.15,96.6,120.75,169.05,72.45,7.5,10,15,17.5
256,25,828,Vegan,4,1.4508953302222933,41.4,165.6,207,289.8,124.2,3.75,5,7.5,8.75
259,24,953,Vegan,10,5.116066177007707,47.65,190.6,238.25,333.55,142.95,3.6,4.8,7.2,8.4
262,19,769,Vegan,4,4.3915963246385985,38.45,153.8,192.25,269.15,115.35,2.85,3.8,5.7,6.65
265,64,667,Vegan,9,1.8133043192112104,33.35,133.4,166.75,233.45,100.05,9.6,12.8,19.2,22.4
